[2025-02-09 13:45:02,924: INFO: main: welcome to our custom log]
[2025-02-13 15:32:41,413: INFO: main: welcome to our custom log]
[2025-02-14 12:20:47,063: INFO: main: welcome to our custom log]
[2025-02-14 12:59:29,950: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 12:59:29,953: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 12:59:29,956: INFO: common: created directory at: artifacts]
[2025-02-14 13:29:41,581: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 13:29:41,584: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 13:29:41,587: INFO: common: created directory at: artifacts]
[2025-02-14 13:55:06,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 13:55:06,486: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 13:55:06,488: INFO: common: created directory at: artifacts]
